Date,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2020-07-31,Flex Leverage Plate Loaded Chest Press-Axiom,80,10,,,,,Chest,,175
2020-07-31,Machine Shoulder Press-Axiom,30,15,,,,,Shoulders,,175
2020-07-31,Machine Shoulder Press-Axiom,30,12,,,,,Shoulders,,175
2020-07-31,Machine Shoulder Press-Axiom,30,10,,,,,Shoulders,,175
2020-07-31,Hammer Strength Plate Loaded Iso-Lateral Incline Press,70,12,,,,,Chest,,175
2020-07-31,Hammer Strength Plate Loaded Iso-Lateral Incline Press,70,10,,,,,Chest,,175
2020-07-31,Hammer Strength Plate Loaded Iso-Lateral Incline Press,70,8,,,,,Chest,,175
2020-07-31,Assisted Dips-Axiom,105,12,,,,,Triceps,,175
2020-07-31,Assisted Dips-Axiom,105,10,,,,,Triceps,,175
2020-07-31,Assisted Dips-Axiom,95,10,,,,,Triceps,,175
2020-07-31,Dumbbell Lateral Raises,12.5,12,,,,,Shoulders,,175
2020-07-31,Dumbbell Lateral Raises,12.5,10,,,,,Shoulders,,175
2020-07-31,Dumbbell Lateral Raises,10,12,,,,,Shoulders,,175
2020-07-31,Dumbbell Lateral Raises,10,10,  Very good form,,,,Shoulders,,175
2020-07-31,Cable Kickbacks,7.5,14,,,,,Triceps,,175
2020-07-31,Cable Kickbacks,7.5,9,,,,,Triceps,,175
2020-07-31,Pec Deck-Axiom,60,12,,,,,Chest,,175
2020-07-31,Pec Deck-Axiom,60,10,,,,,Chest,,175
2020-07-31,Pec Deck-Axiom,50,10,,,,,Chest,,175
2020-07-31,Standing Calf Raise Machine-Axiom,50,15,,,,,Legs,,175
2020-07-31,Standing Calf Raise Machine-Axiom,50,13,,,,,Legs,,175
2020-07-31,Standing Calf Raise Machine-Axiom,50,10,,,,,Legs,,175
2020-07-30,Smith Squat ATG slow eccentric-FFA,90,6,,,,,Legs,,175
2020-07-30,Smith Squat ATG slow eccentric-FFA,90,5,,,,,Legs,,175
2020-07-30,Smith Squat ATG slow eccentric-FFA,70,8,,,,,Legs,,175
2020-07-30,Smith Squat ATG slow eccentric-FFA,70,8,,,,,Legs,,175
2020-07-30,Leg Press-FFA,180,10,,,,,Legs,,175
2020-07-30,Leg Press-FFA,180,9,,,,,Legs,,175
2020-07-30,Leg Press-FFA,180,8,,,,,Legs,,175
2020-07-30,Seated Leg Curl-FFA,75,10,,,,,Legs,,175
2020-07-30,Seated Leg Curl-FFA,75,8,,,,,Legs,,175
2020-07-30,Seated Leg Curl-FFA,75,8,,,,,Legs,,175
2020-07-29,Assisted Pullups-FFA,105,12,2 RIR about right,,,,Back,FFA 2RIR Pull,175
2020-07-29,Assisted Pullups-FFA,105,10,,,,,Back,FFA 2RIR Pull,175
2020-07-29,Assisted Pullups-FFA,95,10,,,,,Back,FFA 2RIR Pull,175
2020-07-29,One-Arm Hammer Rows,55,14,Could be more 3/4 RIR all through,,,,Back,FFA 2RIR Pull,175
2020-07-29,One-Arm Hammer Rows,55,12,,,,,Back,FFA 2RIR Pull,175
2020-07-29,One-Arm Hammer Rows,55,10,,,,,Back,FFA 2RIR Pull,175
2020-07-29,Seated Row Closegrip,70,15,A little light,,,,Back,FFA 2RIR Pull,175
2020-07-29,Seated Row Closegrip,70,15,,,,,Back,FFA 2RIR Pull,175
2020-07-29,Seated Row Closegrip,70,13,Slightly heavier and we’re good,,,,Back,FFA 2RIR Pull,175
2020-07-29,Face Pulls-FFA,25,12,,,,,Shoulders,FFA 2RIR Pull,175
2020-07-29,Face Pulls-FFA,25,10,,,,,Shoulders,FFA 2RIR Pull,175
2020-07-29,Face Pulls-FFA,25,10,,,,,Shoulders,FFA 2RIR Pull,175
2020-07-29,One-Arm Dumbbell Preacher Curl,15,10,,,,,Biceps,FFA 2RIR Pull,175
2020-07-29,One-Arm Dumbbell Preacher Curl,15,10,,,,,Biceps,FFA 2RIR Pull,175
2020-07-29,One-Arm Dumbbell Preacher Curl,15,8,,,,,Biceps,FFA 2RIR Pull,175
2020-07-29,Cable Curls-FFA,40,12,,,,,Biceps,FFA 2RIR Pull,175
2020-07-29,Cable Curls-FFA,40,10,,,,,Biceps,FFA 2RIR Pull,175
2020-07-29,Cable Curls-FFA,40,8,Pooped,,,,Biceps,FFA 2RIR Pull,175
2020-07-28,Hammer Strength Iso-Lateral Flat Press,80,12,Too heavy for 15 reps,,,,Chest,FFA 2RIR Push,175
2020-07-28,Hammer Strength Iso-Lateral Flat Press,75,10,5 pound drop not enough to maintain 12 reps,,,,Chest,FFA 2RIR Push,175
2020-07-28,Hammer Strength Iso-Lateral Flat Press,70,10,2 RIR,,,,Chest,FFA 2RIR Push,175
2020-07-28,Machine Shoulder Press-FFA,65,13,60 is probably the mark,,,,Shoulders,FFA 2RIR Push,175
2020-07-28,Machine Shoulder Press-FFA,60,12,Pretty close,,,,Shoulders,FFA 2RIR Push,175
2020-07-28,Machine Shoulder Press-FFA,60,10,A little tough,,,,Shoulders,FFA 2RIR Push,175
2020-07-28,Hammer Strength Plate Loaded Iso-Lateral Incline Press,65,15,Pretty close to 2 RIR,,,,Chest,FFA 2RIR Push,175
2020-07-28,Hammer Strength Plate Loaded Iso-Lateral Incline Press,65,12,,,,,Chest,FFA 2RIR Push,175
2020-07-28,Hammer Strength Plate Loaded Iso-Lateral Incline Press,65,10,Pretty good targets,,,,Chest,FFA 2RIR Push,175
2020-07-28,Assisted Dips-FFA,105,12,Probably 3 RIR - shoukd have done 13 as planned,,,,Triceps,FFA 2RIR Push,175
2020-07-28,Assisted Dips-FFA,105,10,,,,,Triceps,FFA 2RIR Push,175
2020-07-28,Assisted Dips-FFA,105,8,Maybe 1 RIR,,,,Triceps,FFA 2RIR Push,175
2020-07-28,Dumbbell Side Laterals,15,10,Little heavy for 13,,,,Shoulders,FFA 2RIR Push,175
2020-07-28,Dumbbell Side Laterals,12.5,10,,,,,Shoulders,FFA 2RIR Push,175
2020-07-28,Dumbbell Side Laterals,10,12,,,,,Shoulders,FFA 2RIR Push,175
2020-07-28,Dumbbell Side Laterals,10,10,Probably about right,,,,Shoulders,FFA 2RIR Push,175
2020-07-28,Cable Flyes-FFA,25,10,20 was probably right for 15,,,,Chest,FFA 2RIR Push,175
2020-07-28,Cable Flyes-FFA,20,12,,,,,Chest,FFA 2RIR Push,175
2020-07-28,Cable Flyes-FFA,20,12,,,,,Chest,FFA 2RIR Push,175
2020-07-26,Smith Squat ATG slow eccentric-FFA,,,,,,,Legs,Deload Legs FFA,174
2020-07-26,Smith Squat ATG slow eccentric-FFA,,,,,,,Legs,Deload Legs FFA,174
2020-07-26,Smith Squat ATG slow eccentric-FFA,70,5,Harder than ecoected,,,,Legs,Deload Legs FFA,174
2020-07-26,Smith Squat ATG slow eccentric-FFA,80,7,,,,,Legs,Deload Legs FFA,174
2020-07-26,Leg Press Standard-FFA,,,,,,,Legs,Deload Legs FFA,174
2020-07-26,Leg Press Standard-FFA,180,8,Just right - closer feet, less ROM, no rounding, feeling wuads,,,,Legs,Deload Legs FFA,174
2020-07-26,Leg Press Standard-FFA,180,8,,,,,Legs,Deload Legs FFA,174
2020-07-26,Seated Leg Curl-FFA,,,,,,,Legs,Deload Legs FFA,174
2020-07-26,Seated Leg Curl-FFA,75,12,3/5/2 settings,,,,Legs,Deload Legs FFA,174
2020-07-26,Seated Leg Curl-FFA,75,10,Felt amazing, 5/6 RIR,,,,Legs,Deload Legs FFA,174
2020-07-26,Smith Calf Raise,,,,,,,Legs,Deload Legs FFA,174
2020-07-26,Smith Calf Raise,70,15,Just right for 5 RIR mo tech fail,,,,Legs,Deload Legs FFA,174
2020-07-26,Smith Calf Raise,70,12,,,,,Legs,Deload Legs FFA,174
2020-07-26,Smith Calf Raise,70,9,,,,,Legs,Deload Legs FFA,174
2020-07-25,Assisted Pullups-Axiom,,,,,,,Back,Deload Pull Axiom,174.5
2020-07-25,Assisted Pullups-Axiom,70,12,3 RIR potentially,,,,Back,Deload Pull Axiom,174.5
2020-07-25,Assisted Pullups-Axiom,70,9,,,,,Back,Deload Pull Axiom,174.5
2020-07-25,Hammer Strength Leverage Machine High Row,,,,,,,Back,Deload Pull Axiom,174.5
2020-07-25,Hammer Strength Leverage Machine High Row,90,12,12 a little easy - 5/6 RIR,,,,Back,Deload Pull Axiom,174.5
2020-07-25,Hammer Strength Leverage Machine High Row,90,12,3/4 RIR,,,,Back,Deload Pull Axiom,174.5
2020-07-25,Reverse Pec Deck,,,,,,,Shoulders,Deload Pull Axiom,174.5
2020-07-25,Reverse Pec Deck,40,12,Should have gone slower then we hit 3 RIR,,,,Shoulders,Deload Pull Axiom,174.5
2020-07-25,Reverse Pec Deck,40,9,Slower 3 RIR - much more difficult with gocus om rdelts,,,,Shoulders,Deload Pull Axiom,174.5
2020-07-25,Preacher Curl Machine,,,,,,,Biceps,Deload Pull Axiom,174.5
2020-07-25,Preacher Curl Machine,35,14,3/4 RIR - connection super important,,,,Biceps,Deload Pull Axiom,174.5
2020-07-25,Preacher Curl Machine,35,10,Good clean reps for 3 RIR,,,,Biceps,Deload Pull Axiom,174.5
2020-07-25,Concentration Curl,15,10,10 clean is 3 RIR,,,,Biceps,Deload Pull Axiom,174.5
2020-07-25,Concentration Curl,15,8,,,,,Biceps,Deload Pull Axiom,174.5
2020-07-24,Flex Leverage Plate Loaded Chest Press-Axiom,,,,,,,Chest,Deload Push Axiom,175
2020-07-24,Flex Leverage Plate Loaded Chest Press-Axiom,,,,,,,Chest,Deload Push Axiom,175
2020-07-24,Flex Leverage Plate Loaded Chest Press-Axiom,90,10,2-3 RIR,,,,Chest,Deload Push Axiom,175
2020-07-24,Flex Leverage Plate Loaded Chest Press-Axiom,90,8,2 RIR,,,,Chest,Deload Push Axiom,175
2020-07-24,Machine Shoulder Press-Axiom,,,,,,,Shoulders,Deload Push Axiom,175
2020-07-24,Machine Shoulder Press-Axiom,35,12,40 a bit heavy right now - 12 possibly slightly too many for 3 RIR,,,,Shoulders,Deload Push Axiom,175
2020-07-24,Machine Shoulder Press-Axiom,35,8,Just right for 3 RIR on 2nd right now,,,,Shoulders,Deload Push Axiom,175
2020-07-24,Hammer Strength Plate Loaded Iso-Lateral Incline Press,,,,,,,Chest,Deload Push Axiom,175
2020-07-24,Hammer Strength Plate Loaded Iso-Lateral Incline Press,70,10,Last ex - 3 RIR - will need a couple more reps if earlier,,,,Chest,Deload Push Axiom,175
2020-07-24,Hammer Strength Plate Loaded Iso-Lateral Incline Press,70,8,,,,,Chest,Deload Push Axiom,175
2020-07-24,Assisted Dips,,,,,,,Triceps,Deload Push Axiom,175
2020-07-24,Assisted Dips,-70,10,Maybe 4 RIR,,,,Triceps,Deload Push Axiom,175
2020-07-24,Assisted Dips,-70,8,Almost 4 again,,,,Triceps,Deload Push Axiom,175
2020-07-24,Dumbbell Lateral Raises,12.5,13,Pretty close to 3,,,,Shoulders,Deload Push Axiom,175
2020-07-24,Dumbbell Lateral Raises,12.5,10,2/3 - technical breakdown,,,,Shoulders,Deload Push Axiom,175
2020-07-24,Pec Deck-Axiom,,,,,,,Chest,Deload Push Axiom,175
2020-07-24,Pec Deck-Axiom,60,12,Good but did before last, probably right intensity,,,,Chest,Deload Push Axiom,175
2020-07-24,Pec Deck-Axiom,60,10,,,,,Chest,Deload Push Axiom,175
2020-07-23,Smith Squat ATG,90,8,2-3 RIR - ATG a lttle garder than expected,,,,Legs,Test and deload legs,175
2020-07-23,Smith Squat ATG,80,10,2ish RIR,,,,Legs,Test and deload legs,175
2020-07-23,Seated Leg Curl,70,17,2-3 RIR (hard to tell tech fail),,,,Legs,Test and deload legs,175
2020-07-23,Seated Leg Curl,70,14,,,,,Legs,Test and deload legs,175
2020-07-23,Smith Calf Raise,70,20,A little light,,,,Legs,Test and deload legs,175
2020-07-23,Smith Calf Raise,80,15,Pretty good for 2nd set - maybe still 5 light,,,,Legs,Test and deload legs,175
2020-07-23,Smith Calf Raise,80,12,Sick lactic burn before loss - seems to drop off gard with sets - regulate load,,,,Legs,Test and deload legs,175
2020-07-12,Seated Leg Curl,70,12,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Seated Leg Curl,70,12,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Seated Leg Curl,70,12,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Leg Press,180,10,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Leg Press,180,12,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Leg Press,180,10,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Hack Squat,90,10,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Hack Squat,90,10,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Calf Raises,50,15,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Calf Raises,50,15,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Calf Raises,50,12,,,,,Legs,Legs FFA mod accum,178
2020-07-12,Calf Raises,50,10,,,,,Legs,Legs FFA mod accum,178
2020-05-07,Dumbbell Press,30,10,,,,,Chest,PPL Home Push,
2020-05-07,Dumbbell Press,30,10,,,,,Chest,PPL Home Push,
