Date,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2020-11-25,Assisted Pullups-FFA,110,10,,,,,Back,,
2020-11-25,Assisted Pullups-FFA,110,10,,,,,Back,,
2020-11-25,Assisted Pullups-FFA,110,8,,,,,Back,,
2020-11-25,One-Arm Hammer Rows,55,20,,,,,Back,,
2020-11-25,One-Arm Hammer Rows,55,15,,,,,Back,,
2020-11-25,One-Arm Hammer Rows,55,13,,,,,Back,,
2020-11-25,Face Pulls,30,10,,,,,Back,,
2020-11-25,Face Pulls,30,10,,,,,Back,,
2020-11-25,Face Pulls,30,10,,,,,Back,,
2020-11-25,Cable Curls-FFA,70,13,,,,,Biceps,,
2020-11-25,Cable Curls-FFA,70,10,,,,,Biceps,,
2020-11-25,Cable Curls-FFA,60,12,,,,,Biceps,,
2020-11-25,Concentration Curl,15,13,,,,,Biceps,,
2020-11-25,Concentration Curl,15,11,,,,,Biceps,,
2020-11-25,Concentration Curl,15,10,,,,,Biceps,,
